Propensity_Decile,Group,Customers,Mean,Min,Max
1,Control,25000,0.01282915795086426,0.011553184161207,0.0376614726636863
1,Treatment,25000,0.012825468880582789,0.011553157553188,0.0315502513961543
2,Control,25000,0.010893213018132994,0.0103202278712798,0.0115531137534399
2,Treatment,25000,0.010892134392910858,0.0103202144099046,0.0115530294529759
3,Control,25000,0.00985463329514122,0.0094199236531405,0.0103201970118453
3,Treatment,25000,0.009853903161793815,0.0094199224466813,0.0103201403119649
4,Control,25000,0.009020807861993175,0.0086310119030133,0.0094199186168977
4,Treatment,25000,0.00902018520742015,0.0086309777464472,0.0094198820019928
5,Control,25000,0.00824617997208294,0.0078538539812021,0.0086309600558454
5,Treatment,25000,0.008245594222685162,0.0078538493675629,0.0086309152187769
6,Control,25000,0.007404480238945079,0.0069188360335625,0.0078538103559725
6,Treatment,25000,0.007403823157675412,0.0069188360335625,0.0078537886019362
7,Control,24999,0.006321947732881346,0.0056761415512505,0.0069187894318395
7,Treatment,24999,0.006321331641354054,0.0056761293023015,0.0069187635236756
8,Control,25001,0.005113906948095674,0.0046256634657944,0.0056760848641194
8,Treatment,25001,0.005113814220359048,0.0046256478079273,0.0056760848641194
9,Control,25000,0.004232608256014768,0.0038435268583062,0.0046256375333199
9,Treatment,25000,0.004232016903364002,0.0038435268583062,0.004625594805118
10,Control,25000,0.003357998810601395,0.0017617758298806,0.0038434955757137
10,Treatment,25000,0.00335685655080988,0.0017598616858334,0.0038434699202325
