Removed Feature,ROC AUC,PR AUC,Delta AUC
DP_Value_log,0.6029415597334857,0.010143814079833023,-0.006943076660048231
Total_Margin_log,0.6024363468823299,0.010461709856771736,-0.006437863808892441
Category_Bucket_final,0.6023068729625525,0.010393845445734327,-0.006308389889114974
Dealing_Zone,0.6013805275634054,0.01045593590473002,-0.00538204448996793
recency,0.6013607432800913,0.010131049310314333,-0.005362260206653757
ord_derv_log,0.6009415717549035,0.010259035948203897,-0.004943088681465979
self_dealer_status,0.5990120645603982,0.010443361684310794,-0.003013581486960737
Vertical,0.5986991015661053,0.010346989251945118,-0.0027006184926677834
Number_of_competition_account,0.5980834332352613,0.010086828994674855,-0.002084950161823751
never_traded,0.5967139779083006,0.010003649208544936,-0.0007154948348631063
vintage_months,0.5966483590683346,0.010286831034063868,-0.0006498759948970756
None,0.5959984830734375,0.010275130502686528,0.0
plan,0.5956542249400838,0.010428329387564857,0.00034425813335370314
current_age,0.5932586905394388,0.009709143428896623,0.0027397925339986973
ord_cash_log,0.5884590466147652,0.009981335937343542,0.007539436458672277
